,Date,% of Homes Decreasing in Value,% of Homes Increasing in Value,% of Listings with Price Reduction,Median % Reduction,Median List Price,Median List Price per Square Foot,Median Market Value (Single Family),Median Price 1 Bedroom,Median Price 2 Bedroom,Median Price 3 Bedroom,Median Price 4 Bedroom,Median Price 5 Bedroom,Sales per Month,Zip_Code,Date.1,Year,Month,Day
7717,2009-06-30,7.04,88.99,,,,,185955.0,108729.0,108729.0,157695.0,228723.0,336379.0,20.0,46250,2009-06-30,2009,06,30
7718,2009-07-31,9.16,85.6,,,,,187327.0,108599.0,109251.0,158983.0,228934.0,337253.0,14.0,46250,2009-07-31,2009,07,31
7719,2009-08-31,9.99,84.79,,,,,188143.0,108954.0,109968.0,159700.0,229544.0,339114.0,14.0,46250,2009-08-31,2009,08,31
7720,2009-09-30,9.89,84.92,,,,,189344.0,109384.0,111191.0,160796.0,229981.0,341344.0,20.0,46250,2009-09-30,2009,09,30
7721,2009-10-31,8.34,86.74,,,,,189671.0,108779.0,111689.0,160748.0,230016.0,341297.0,21.0,46250,2009-10-31,2009,10,31
7722,2009-11-30,8.7,85.68,,,,,191054.0,108085.0,112586.0,161609.0,231952.0,343520.0,10.0,46250,2009-11-30,2009,11,30
7723,2009-12-31,11.65,81.84,,,,,192477.0,107339.0,113192.0,162556.0,234157.0,345476.0,23.0,46250,2009-12-31,2009,12,31
7724,2010-01-31,7.81,84.2,,,,93.4539194915254,193278.0,107655.0,113866.0,163354.0,235688.0,347779.0,2.0,46250,2010-01-31,2010,01,31
7725,2010-02-28,11.29,76.64,,,,94.652382140451,193686.0,108561.0,114129.0,164054.0,235691.0,348775.0,5.0,46250,2010-02-28,2010,02,28
7726,2010-03-31,14.62,69.54,,,,94.4778343244438,193150.0,109075.0,113932.0,164080.0,234795.0,347133.0,15.0,46250,2010-03-31,2010,03,31
7727,2010-04-30,19.71,64.09,,,,96.77215189873421,193401.0,108954.0,113611.0,164439.0,234703.0,346620.0,16.0,46250,2010-04-30,2010,04,30
7728,2010-05-31,23.02,58.49,,,,98.76543209876542,192877.0,107919.0,113322.0,163949.0,234811.0,346731.0,18.0,46250,2010-05-31,2010,05,31
7729,2010-06-30,23.91,58.19,,,,100.68796068796101,192304.0,107428.0,113102.0,163686.0,234281.0,346996.0,29.0,46250,2010-06-30,2010,06,30
7730,2010-07-31,25.03,58.91,,,,102.258959132335,190641.0,106522.0,112266.0,162236.0,232668.0,343924.0,13.0,46250,2010-07-31,2010,07,31
7731,2010-08-31,24.54,60.9,,,,103.478959411062,188443.0,106178.0,111041.0,160576.0,229566.0,337657.0,12.0,46250,2010-08-31,2010,08,31
7732,2010-09-30,27.83,59.04,17.6470588235294,3.9246171727637007,,103.422204536411,185782.0,105553.0,109343.0,158710.0,226878.0,331904.0,14.0,46250,2010-09-30,2010,09,30
7733,2010-10-31,28.98,57.87,19.685039370078698,3.3355570380254,,103.107112219732,184482.0,104922.0,108290.0,158308.0,225268.0,329259.0,9.0,46250,2010-10-31,2010,10,31
7734,2010-11-30,26.09,59.5,15.2542372881356,3.5785524231072,,103.107112219732,183175.0,105203.0,107397.0,157732.0,223421.0,326871.0,19.0,46250,2010-11-30,2010,11,30
7735,2010-12-31,23.97,62.49,9.4017094017094,3.4494653328734,,100.659045743284,182889.0,105422.0,107158.0,157623.0,222474.0,326533.0,18.0,46250,2010-12-31,2010,12,31
7736,2011-01-31,23.0,63.62,14.8514851485149,3.2579002555591,,101.031353135314,183145.0,104704.0,106743.0,157889.0,222468.0,326103.0,12.0,46250,2011-01-31,2011,01,31
7737,2011-02-28,23.14,63.15,8.571428571428571,6.8989306657468,,105.40255282889,183382.0,102727.0,106259.0,157941.0,223324.0,325458.0,11.0,46250,2011-02-28,2011,02,28
7738,2011-03-31,28.34,57.0,11.926605504587199,4.485294117647,,104.927302100162,183033.0,101470.0,105397.0,157309.0,223335.0,323538.0,11.0,46250,2011-03-31,2011,03,31
7739,2011-04-30,29.02,54.16,15.7894736842105,3.3836986592892004,,106.48671454219,181532.0,101473.0,104338.0,155857.0,221512.0,319957.0,8.0,46250,2011-04-30,2011,04,30
7740,2011-05-31,29.04,54.2,13.1578947368421,3.8630377524144,,99.3457425010794,179379.0,102387.0,102859.0,153981.0,218468.0,315248.0,16.0,46250,2011-05-31,2011,05,31
7741,2011-06-30,26.13,57.23,17.0940170940171,4.097409664258399,,99.8971844478492,178080.0,102321.0,101735.0,152745.0,216607.0,312386.0,17.0,46250,2011-06-30,2011,06,30
7742,2011-07-31,27.81,56.58,15.833333333333302,4.2424242424243,,98.9686468646865,177870.0,102171.0,101414.0,152713.0,216463.0,312936.0,23.0,46250,2011-07-31,2011,07,31
7743,2011-08-31,28.7,56.34,15.7894736842105,3.393106331297,,98.8622386223862,179264.0,101685.0,101801.0,153708.0,218312.0,316839.0,20.0,46250,2011-08-31,2011,08,31
7744,2011-09-30,22.85,64.21,17.272727272727302,2.860337369839,,102.990033222591,180778.0,101089.0,102308.0,154696.0,220102.0,320337.0,20.0,46250,2011-09-30,2011,09,30
7745,2011-10-31,20.13,67.69,17.1717171717172,3.2278889606198002,,100.38968505321199,181482.0,101013.0,102205.0,154639.0,221045.0,321999.0,15.0,46250,2011-10-31,2011,10,31
7746,2011-11-30,20.05,67.31,11.5789473684211,2.6297996402207997,,102.885665761218,181799.0,100361.0,101680.0,154501.0,221648.0,323629.0,9.0,46250,2011-11-30,2011,11,30
7747,2011-12-31,55.54,33.56,9.30232558139535,3.2258064516129,,101.544715447154,181270.0,100362.0,100898.0,153899.0,221263.0,323499.0,11.0,46250,2011-12-31,2011,12,31
